df,exp_var_ratio,silhouette score,n_clusters,n_components
10,0.9720164419,0.958869,16,4
10,0.9720164419,0.94762,15,3
10,0.9720164419,0.910871,9,2
6,0.9698778437,0.957391,16,4
6,0.9698778437,0.945933,15,3
6,0.9698778437,0.909657,9,2
8,0.96010948,0.997855,16,3
8,0.96010948,0.993092,16,2
12,0.9433620801,0.958088,16,4
12,0.9433620801,0.947531,15,3
12,0.9433620801,0.910885,9,2
5,0.9414708919,0.956594,16,4
5,0.9414708919,0.945858,15,3
5,0.9414708919,0.909677,9,2
9,0.9296662566,0.964179,4,2
9,0.9296662566,0.804594,3,3
3,0.9151693753,0.942054,16,4
3,0.9151693753,0.924284,8,3
3,0.9151693753,0.906798,6,2
7,0.9004350057,0.961741,4,2
7,0.9004350057,0.903552,7,3
2,0.8968870937,0.95245,16,4
2,0.8968870937,0.943927,15,3
2,0.8968870937,0.908185,9,2
11,0.8703152038,0.962006,4,2
11,0.8703152038,0.909504,7,3
4,0.8680040065,0.961428,4,2
4,0.8680040065,0.902702,7,3
15,0.8670059589,0.916054,8,3
15,0.8670059589,0.911457,8,2
14,0.8471327635,0.925101,7,3
14,0.8471327635,0.900628,6,2
